YearSeason,Acanthaster planci,Bohadschia argus,Culcita sp.,Diadema sp.,Echinostrephus aciculatus,Echinothrix sp.,Halodeima atra,Lambis truncata,Tridacna maxima,Trochus niloticus,Total
2004-10-01,0.0,0.25,0.0,0.1111111111111111,0.0,0.4722222222222222,0.0,0.0,0.16666666666666666,0.0,36.0
2005-03-01,0.0,0.30434782608695654,0.0,0.0,0.0,0.4782608695652174,0.0,0.0,0.17391304347826086,0.043478260869565216,23.0
2005-10-01,0.0,0.05,0.0,0.0,0.0,0.8,0.0,0.0,0.15,0.0,20.0
2006-03-01,0.0,0.0,0.0,0.25,0.0,0.6041666666666666,0.0,0.020833333333333332,0.10416666666666667,0.020833333333333332,48.0
2006-10-01,0.0,0.08771929824561403,0.0,0.0,0.0,0.8070175438596491,0.0,0.0,0.10526315789473684,0.0,57.0
2007-03-01,0.0,0.0,0.0,0.6086956521739131,0.0,0.17391304347826086,0.043478260869565216,0.0,0.17391304347826086,0.0,23.0
2007-10-01,0.05263157894736842,0.21052631578947367,0.0,0.0,0.0,0.5263157894736842,0.0,0.0,0.21052631578947367,0.0,19.0
2008-03-01,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,2.0
2008-10-01,0.044444444444444446,0.17777777777777778,0.0,0.0,0.0,0.4,0.0,0.0,0.37777777777777777,0.0,45.0
2009-03-01,0.0,0.03125,0.0,0.0,0.03125,0.34375,0.0,0.0,0.59375,0.0,32.0
2009-10-01,0.0,0.041666666666666664,0.0,0.3958333333333333,0.0,0.22916666666666666,0.0,0.0,0.3333333333333333,0.0,48.0
2010-03-01,0.02702702702702703,0.05405405405405406,0.0,0.32432432432432434,0.0,0.13513513513513514,0.0,0.0,0.4594594594594595,0.0,37.0
2011-03-01,0.0,0.05555555555555555,0.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,18.0
2012-03-01,0.08333333333333333,0.08333333333333333,0.0,0.041666666666666664,0.0,0.4166666666666667,0.0,0.0,0.375,0.0,24.0
2013-03-01,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.6,0.0,20.0
2014-03-01,0.0,0.1111111111111111,0.0,0.05555555555555555,0.0,0.1111111111111111,0.0,0.0,0.7222222222222222,0.0,18.0
2015-03-01,0.0,0.09090909090909091,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,11.0
2016-03-01,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.2222222222222222,0.0,0.0,0.6666666666666666,0.0,18.0
2017-03-01,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,24.0
2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0
2019-03-01,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,10.0
2020-03-01,0.0,0.08333333333333333,0.027777777777777776,0.0,0.0,0.3611111111111111,0.0,0.0,0.5,0.027777777777777776,36.0
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,8.0
2022-03-01,0.0,0.02631578947368421,0.0,0.02631578947368421,0.0,0.6052631578947368,0.02631578947368421,0.0,0.3157894736842105,0.0,38.0
2023-03-01,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4.0
