YearSeason,Algae,Calcified Algae,Live Coral,Others,Pavement,Rubble,Sand,Turf
1987-01,0.04,0.09,0.0,0.19,0.0,0.0,0.68,0.0
1988-01,0.14,0.05,0.01,0.02,0.01,0.22,0.45,0.1
1989-01,0.15,0.13,0.02,0.05,0.0,0.15,0.45,0.05
1990-01,0.23,0.1,0.03,0.01,0.0,0.2,0.33,0.1
1991-01,0.28,0.13,0.04,0.0,0.0,0.13,0.36,0.06
1992-01,0.2,0.03,0.03,0.03,0.04,0.18,0.44,0.05
1993-01,0.12,0.0,0.03,0.0,0.0,0.01,0.84,0.0
1994-01,0.06,0.08,0.01,0.01,0.02,0.23,0.47,0.12
1995-01,0.05,0.12,0.02,0.02,0.01,0.16,0.5,0.12
1996-01,0.18,0.07,0.04,0.01,0.01,0.18,0.38,0.13
1997-01,0.23,0.09,0.02,0.02,0.03,0.31,0.25,0.05
1998-01,0.18,0.11,0.01,0.02,0.03,0.22,0.31,0.12
1999-01,0.34,0.05,0.02,0.0,0.0,0.19,0.32,0.08
2000-01,0.2,0.05,0.0,0.0,0.03,0.38,0.22,0.12
2001-01,0.08,0.13,0.05,0.05,0.01,0.13,0.49,0.06
2002-01,0.11,0.09,0.03,0.03,0.0,0.13,0.54,0.07
2003-01,0.03,0.14,0.01,0.0,0.0,0.17,0.57,0.08
2004-01,0.03,0.07,0.07,0.02,0.04,0.09,0.57,0.11
2007-01,0.0,0.12,0.04,0.0,0.0,0.19,0.58,0.07
2008-01,0.02,0.09,0.07,0.0,0.0,0.22,0.53,0.07
2009-01,0.04,0.08,0.05,0.02,0.01,0.19,0.53,0.08
2010-01,0.02,0.09,0.06,0.02,0.0,0.23,0.49,0.09
2011-01,0.01,0.09,0.03,0.0,0.01,0.25,0.48,0.13
2013-03,0.02,0.13,0.03,0.0,0.03,0.62,0.12,0.05
2014-05,0.02,0.08,0.01,0.02,0.05,0.41,0.41,0.0
2014-11,0.01,0.14,0.0,0.01,0.06,0.37,0.41,0.0
2015-09,0.01,0.12,0.01,0.0,0.05,0.3,0.51,0.0
2016-09,0.07,0.05,0.02,0.0,0.05,0.32,0.44,0.05
2018-01,0.02,0.03,0.0,0.0,0.02,0.37,0.56,0.0
2018-10,0.02,0.02,0.0,0.0,0.01,0.32,0.6,0.03
2019-12,0.05,0.03,0.01,0.0,0.08,0.17,0.65,0.01
2021-01,0.08,0.0,0.0,0.0,0.0,0.24,0.68,0.0
2021-02,0.02,0.04,0.0,0.0,0.02,0.72,0.2,0.0
2021-11,0.05,0.02,0.0,0.0,0.0,0.23,0.67,0.03
2022-01,0.07,0.06,0.0,0.0,0.0,0.31,0.53,0.03
2023-10,0.04,0.06,0.0,0.0,0.01,0.44,0.43,0.02
