YearSeason,Algae,Calcified Algae,Live Coral,Others,Pavement,Rubble,Sand,Turf
1987-01,0.412,0.0,0.044,0.044,0.044,0.0,0.32,0.136
1988-01,0.48,0.0,0.04,0.004,0.04,0.056,0.3,0.08
1989-01,0.46,0.0,0.088,0.044,0.0,0.032,0.22,0.156
1990-01,0.464,0.004,0.08,0.032,0.02,0.076,0.244,0.08
1991-01,0.316,0.0,0.056,0.012,0.016,0.04,0.408,0.152
1992-01,0.424,0.004,0.056,0.012,0.016,0.116,0.272,0.1
1993-01,0.46,0.0,0.032,0.016,0.004,0.084,0.304,0.1
1994-01,0.496,0.008,0.064,0.016,0.004,0.072,0.212,0.128
1995-01,0.508,0.008,0.044,0.012,0.004,0.112,0.188,0.124
1996-01,0.468,0.012,0.04,0.02,0.0,0.084,0.272,0.104
1997-01,0.304,0.004,0.032,0.02,0.012,0.056,0.44,0.132
1998-01,0.52,0.0,0.072,0.004,0.0,0.044,0.248,0.112
1999-01,0.3,0.0,0.056,0.008,0.004,0.152,0.356,0.124
2000-01,0.332,0.0,0.08,0.012,0.008,0.06,0.376,0.132
2001-01,0.136,0.0,0.064,0.012,0.028,0.192,0.376,0.192
2002-01,0.22,0.008,0.052,0.044,0.036,0.176,0.356,0.108
2003-01,0.312,0.016,0.044,0.004,0.056,0.104,0.292,0.172
2004-01,0.2,0.004,0.04,0.012,0.084,0.188,0.348,0.124
2005-01,0.312,0.008,0.096,0.016,0.024,0.144,0.268,0.132
2006-01,0.108,0.008,0.056,0.004,0.044,0.188,0.412,0.18
2007-01,0.188,0.004,0.08,0.016,0.04,0.208,0.36,0.104
2008-01,0.188,0.012,0.06,0.008,0.064,0.128,0.428,0.112
2009-01,0.184,0.012,0.068,0.008,0.052,0.148,0.38,0.148
2010-01,0.192,0.024,0.048,0.008,0.06,0.232,0.304,0.132
2011-01,0.176,0.016,0.052,0.004,0.052,0.252,0.32,0.128
2013-03,0.208,0.144,0.096,0.008,0.028,0.056,0.292,0.168
2014-05,0.452,0.024,0.044,0.0,0.072,0.1,0.248,0.06
2014-11,0.456,0.024,0.02,0.008,0.092,0.096,0.252,0.052
2015-09,0.484,0.0,0.036,0.008,0.108,0.088,0.256,0.02
2017-01,0.276,0.008,0.04,0.016,0.076,0.108,0.412,0.064
2018-01,0.28,0.004,0.044,0.02,0.08,0.14,0.392,0.04
2019-01,0.164,0.008,0.052,0.012,0.076,0.124,0.536,0.028
2019-12,0.304,0.004,0.06,0.004,0.076,0.092,0.416,0.044
2020-12,0.284,0.0,0.06,0.016,0.084,0.112,0.392,0.052
2021-11,0.22,0.004,0.052,0.004,0.012,0.044,0.464,0.2
2022-01,0.324,0.0,0.076,0.0,0.016,0.072,0.388,0.124
2023-10,0.356,0.008,0.092,0.0,0.008,0.052,0.424,0.06
