YearSeason,Algae,Calcified Algae,Live Coral,Others,Pavement,Rubble,Sand,Turf
1987-01,0.176,0.24,0.276,0.07999999999999999,0.008,0.0,0.04,0.18
1988-01,0.176,0.176,0.288,0.02,0.036,0.092,0.052,0.16
1989-01,0.108,0.092,0.396,0.004,0.052,0.092,0.028,0.228
1990-01,0.124,0.116,0.372,0.004,0.008,0.124,0.012,0.24
1991-01,0.144,0.12,0.292,0.008,0.012,0.144,0.012,0.268
1992-01,0.1,0.144,0.256,0.004,0.004,0.184,0.008,0.3
1993-01,0.056,0.12,0.152,0.0,0.02,0.212,0.276,0.164
1994-01,0.132,0.084,0.224,0.0,0.04,0.168,0.028,0.324
1995-01,0.104,0.104,0.316,0.004,0.028,0.136,0.028,0.28
1996-01,0.044,0.14,0.336,0.016,0.016,0.124,0.008,0.316
1997-01,0.092,0.14,0.356,0.008,0.012,0.064,0.028,0.3
1998-01,0.064,0.088,0.44,0.0,0.044,0.128,0.012,0.224
1999-01,0.1,0.124,0.404,0.008,0.044,0.092,0.032,0.196
2000-01,0.084,0.092,0.452,0.0,0.04,0.112,0.024,0.196
2001-01,0.06,0.148,0.448,0.0,0.032,0.12,0.016,0.176
2002-01,0.028,0.1,0.516,0.068,0.004,0.084,0.012,0.188
2003-01,0.0,0.156,0.448,0.0,0.008,0.084,0.02,0.284
2004-01,0.0,0.216,0.416,0.0,0.036,0.096,0.036,0.2
2005-01,0.0,0.236,0.436,0.0,0.02,0.072,0.02,0.216
2006-01,0.004,0.152,0.408,0.0,0.04,0.076,0.032,0.288
2007-01,0.008,0.288,0.216,0.004,0.0,0.12,0.04,0.324
2008-01,0.036,0.268,0.124,0.0,0.012,0.136,0.024,0.4
2009-01,0.012,0.264,0.104,0.004,0.012,0.184,0.036,0.384
2010-01,0.052,0.176,0.04,0.0,0.044,0.36,0.024,0.304
2011-01,0.044,0.12,0.056,0.008,0.004,0.26,0.016,0.492
2013-03,0.16,0.432,0.068,0.0,0.084,0.196,0.04,0.02
2014-05,0.068,0.224,0.144,0.004,0.22,0.208,0.032,0.1
2014-11,0.084,0.196,0.224,0.0,0.304,0.176,0.012,0.004
2015-09,0.02,0.156,0.256,0.004,0.384,0.16,0.012,0.008
2016-09,0.02,0.2,0.388,0.004,0.096,0.128,0.048,0.116
2018-01,0.032,0.128,0.488,0.0,0.128,0.132,0.036,0.056
2018-10,0.036,0.176,0.416,0.0,0.14,0.148,0.024,0.06
2019-12,0.036,0.196,0.256,0.0,0.276,0.132,0.048,0.056
2021-01,0.08,0.05333333333333334,0.22,0.0,0.26,0.2733333333333333,0.07333333333333333,0.04
2021-02,0.44,0.13,0.15,0.0,0.13,0.07,0.0,0.08
2021-11,0.344,0.064,0.212,0.004,0.024,0.12,0.052,0.18
2022-01,0.3,0.084,0.136,0.0,0.072,0.124,0.06,0.224
2023-10,0.208,0.096,0.044,0.012,0.12,0.104,0.068,0.348
