"DateTime";"°C"
"1991-07-22 22:00:00";26,6
"1991-07-23 22:00:00";26,5
"1991-07-24 22:00:00";26,4
"1991-07-25 22:00:00";26,2
"1991-07-26 22:00:00";26
"1991-07-27 22:00:00";25,8
"1991-07-28 22:00:00";26
"1991-07-29 22:00:00";25,6
"1991-07-30 22:00:00";25,5
"1991-07-31 22:00:00";26,1
"1991-08-01 22:00:00";26,3
"1991-08-02 22:00:00";26,3
"1991-08-03 22:00:00";26,4
"1991-08-04 22:00:00";26,3
"1991-08-05 22:00:00";26,2
"1991-08-06 22:00:00";26,3
"1991-08-07 22:00:00";26,2
"1991-08-08 22:00:00";26
"1991-08-09 22:00:00";25,1
"1991-08-10 22:00:00";25,2
"1991-08-11 22:00:00";25,1
"1991-08-12 22:00:00";25,6
"1991-08-13 22:00:00";26
"1991-08-14 22:00:00";26,4
"1991-08-15 22:00:00";26,2
"1991-08-16 22:00:00";26,2
"1991-08-17 22:00:00";26,4
"1991-08-18 22:00:00";26,2
"1991-08-19 22:00:00";26,4
"1991-08-20 22:00:00";26,3
"1991-08-21 22:00:00";26,4
"1991-08-22 22:00:00";26,6
"1991-08-23 22:00:00";26,4
"1991-08-24 22:00:00";26,5
"1991-08-25 22:00:00";26,5
"1991-08-26 22:00:00";26,6
"1991-08-27 22:00:00";26,7
"1991-08-28 22:00:00";26,3
"1991-08-29 22:00:00";26,5
"1991-08-30 22:00:00";26,5
"1991-08-31 22:00:00";26,3
"1991-09-01 22:00:00";25,9
"1991-09-02 22:00:00";25,9
"1991-09-03 22:00:00";26,1
"1991-09-04 22:00:00";26,5
"1991-09-05 22:00:00";26,7
"1991-09-06 22:00:00";26,9
"1991-09-07 22:00:00";26,5
"1991-09-08 22:00:00";26,8
"1991-09-09 22:00:00";26,9
"1991-09-10 22:00:00";26,7
"1991-09-11 22:00:00";26,9
"1991-09-12 22:00:00";26,4
"1991-09-13 22:00:00";26,2
"1991-09-14 22:00:00";26,1
"1991-09-15 22:00:00";26,1
"1991-09-16 22:00:00";26
"1991-09-17 22:00:00";26
"1991-09-18 22:00:00";26,1
"1991-09-19 22:00:00";26,3
"1991-09-20 22:00:00";26,5
"1991-09-21 22:00:00";26,5
"1991-09-22 22:00:00";26,5
"1991-09-23 22:00:00";26,2
"1991-09-24 22:00:00";26
"1991-09-25 22:00:00";26,3
"1991-09-26 22:00:00";26,4
"1991-09-27 22:00:00";26,3
"1991-09-28 22:00:00";26,4
"1991-09-29 23:00:00";26,7
"1991-09-30 23:00:00";26,8
"1991-10-01 23:00:00";27,1
"1991-10-02 23:00:00";27,4
"1991-10-03 23:00:00";27,7
"1991-10-04 23:00:00";27,4
"1991-10-05 23:00:00";27,2
"1991-10-06 23:00:00";27,2
"1991-10-07 23:00:00";27,2
"1991-10-08 23:00:00";27,1
"1991-10-09 23:00:00";27,6
"1991-10-10 23:00:00";27,3
"1991-10-11 23:00:00";27,4
"1991-10-12 23:00:00";27,8
"1991-10-13 23:00:00";27,8
"1991-10-14 23:00:00";27,5
"1991-10-20 23:00:00";27
"1991-10-21 23:00:00";27,1
"1991-10-22 23:00:00";27,3
"1991-10-23 23:00:00";28,1
"1991-10-24 23:00:00";27,6
"1991-10-25 23:00:00";27,4
"1991-10-26 23:00:00";27,4
"1991-10-27 23:00:00";27
"1991-10-28 23:00:00";26,7
"1991-10-29 23:00:00";26
"1991-10-30 23:00:00";26,2
"1991-10-31 23:00:00";26,3
"1991-11-01 23:00:00";26,4
"1991-11-02 23:00:00";26,6
"1991-11-03 23:00:00";26,6
"1991-11-04 23:00:00";26,8
"1991-11-05 23:00:00";26,8
"1991-11-06 23:00:00";27
"1991-11-07 23:00:00";26,8
"1991-11-08 23:00:00";27
"1991-11-09 23:00:00";27,3
"1991-11-10 23:00:00";27,5
"1991-11-11 23:00:00";27,7
"1991-11-12 23:00:00";27,6
"1991-11-13 23:00:00";27,4
"1991-11-14 23:00:00";27,8
"1991-11-15 23:00:00";27,4
"1991-11-16 23:00:00";27,2
"1991-11-17 23:00:00";27,3
"1991-11-18 23:00:00";27,5
"1991-11-19 23:00:00";27,5
"1991-11-20 23:00:00";27,8
"1991-11-21 23:00:00";27,8
"1991-11-22 23:00:00";28,2
"1991-11-23 23:00:00";28,2
"1991-11-24 23:00:00";28,1
"1991-11-25 23:00:00";27,9
"1991-11-26 23:00:00";28
"1991-11-27 23:00:00";28
"1991-11-28 23:00:00";27,9
"1991-11-29 23:00:00";27,9
"1991-11-30 23:00:00";27,9
"1991-12-01 23:00:00";28,1
"1991-12-02 23:00:00";28,3
"1991-12-03 23:00:00";28,2
"1991-12-04 23:00:00";28,1
"1991-12-05 23:00:00";28,1
"1991-12-06 23:00:00";28,1
"1991-12-07 23:00:00";28,1
"1991-12-08 23:00:00";27,8
"1991-12-09 23:00:00";27,7
