"DateTime";"°C"
"1998-04-02 22:00:00";29,2
"1998-04-03 22:00:00";29,5
"1998-04-04 22:00:00";29,5
"1998-04-05 22:00:00";29,5
"1998-04-06 22:00:00";29,7
"1998-04-07 22:00:00";29,6
"1998-04-08 22:00:00";29,6
"1998-04-09 22:00:00";29,6
"1998-04-10 22:00:00";29,2
"1998-04-11 22:00:00";29,1
"1998-04-12 22:00:00";29
"1998-04-13 22:00:00";29
"1998-04-14 22:00:00";28,8
"1998-04-15 22:00:00";28,6
"1998-04-16 22:00:00";28,4
"1998-04-17 22:00:00";28,4
"1998-04-18 22:00:00";28,4
"1998-04-19 22:00:00";28,3
"1998-04-20 22:00:00";28,4
"1998-04-21 22:00:00";28,4
"1998-04-22 22:00:00";28,3
"1998-04-23 22:00:00";28,2
"1998-04-24 22:00:00";28,1
"1998-04-25 22:00:00";28,1
"1998-04-26 22:00:00";28,2
"1998-04-27 22:00:00";28,2
"1998-04-28 22:00:00";28,2
"1998-04-29 22:00:00";28,2
"1998-04-30 22:00:00";28,3
"1998-05-01 22:00:00";28,4
"1998-05-02 22:00:00";28,4
"1998-05-03 22:00:00";28,4
"1998-05-04 22:00:00";28,4
"1998-05-05 22:00:00";28,3
"1998-05-06 22:00:00";28,2
"1998-05-07 22:00:00";28,2
"1998-05-08 22:00:00";28,2
"1998-05-09 22:00:00";28,2
"1998-05-10 22:00:00";28,2
"1998-05-11 22:00:00";28,3
"1998-05-12 22:00:00";28,4
"1998-05-13 22:00:00";28,3
"1998-05-14 22:00:00";28,3
"1998-05-15 22:00:00";28,2
"1998-05-16 22:00:00";28,2
"1998-05-17 22:00:00";28,2
"1998-05-18 22:00:00";28,1
"1998-05-19 22:00:00";28
"1998-05-20 22:00:00";28
"1998-05-21 22:00:00";27,8
"1998-05-22 22:00:00";27,5
"1998-05-23 22:00:00";27,6
"1998-05-24 22:00:00";27,6
"1998-05-25 22:00:00";27,7
"1998-05-26 22:00:00";27,6
"1998-05-27 22:00:00";27,6
"1998-05-28 22:00:00";27,6
"1998-05-29 22:00:00";27,6
"1998-05-30 22:00:00";27,6
"1998-05-31 22:00:00";27,5
"1998-06-01 22:00:00";27,6
"1998-06-02 22:00:00";27,5
"1998-06-03 22:00:00";27,5
"1998-06-04 22:00:00";27,5
"1998-06-05 22:00:00";27,4
"1998-06-06 22:00:00";27,4
"1998-06-07 22:00:00";27,4
"1998-06-08 22:00:00";27,2
"1998-06-09 22:00:00";27,2
"1998-06-10 22:00:00";27,5
"1998-06-11 22:00:00";27,4
"1998-06-12 22:00:00";27,2
"1998-06-13 22:00:00";26,9
"1998-06-14 22:00:00";27
"1998-06-15 22:00:00";26,9
"1998-06-16 22:00:00";27
"1998-06-17 22:00:00";27
"1998-06-18 22:00:00";26,9
"1998-06-19 22:00:00";26,9
"1998-06-20 22:00:00";26,9
"1998-06-21 22:00:00";26,9
"1998-06-22 22:00:00";26,7
"1998-06-23 22:00:00";26,7
"1998-06-24 22:00:00";26,8
"1998-06-25 22:00:00";26,7
"1998-06-26 22:00:00";26,8
"1998-06-27 22:00:00";26,8
"1998-06-28 22:00:00";26,8
"1998-06-29 22:00:00";26,9
"1998-06-30 22:00:00";26,8
"1998-07-01 22:00:00";26,6
"1998-07-02 22:00:00";26,6
"1998-07-03 22:00:00";26,7
"1998-07-04 22:00:00";26,8
"1998-07-05 22:00:00";26,9
"1998-07-06 22:00:00";26,8
"1998-07-07 22:00:00";26,7
"1998-07-08 22:00:00";26,6
"1998-07-09 22:00:00";26,5
"1998-07-10 22:00:00";26,6
"1998-07-11 22:00:00";26,7
"1998-07-12 22:00:00";26,7
"1998-07-13 22:00:00";26,5
