year,Barrier reef,Fore reef,Fringing reef
1987-01-01,70,69,11
1988-01-01,70,72,10
1989-01-01,60,99,22
1990-01-01,62,93,20
1991-01-01,57,73,14
1992-01-01,46,64,14
1993-01-01,59,38,8
1994-01-01,45,56,16
1995-01-01,43,79,11
1996-01-01,49,84,10
1997-01-01,35,89,8
1998-01-01,54,110,18
1999-01-01,49,101,14
2000-01-01,58,113,20
2001-01-01,60,112,16
2002-01-01,95,129,13
2003-01-01,55,112,11
2004-01-01,75,104,10
2005-01-01,83,109,24
2006-01-01,76,102,14
2007-01-01,73,54,20
2008-01-01,65,31,15
2009-01-01,25,26,17
2010-01-01,18,10,12
2011-01-01,14,14,13
2013-01-01,15,17,24
2014-01-01,22,36,11
2014-06-01,18,56,5
2015-01-01,17,64,9
2016-01-01,12,97,10
2017-01-01,21,122,11
2018-01-01,40,104,13
2019-01-01,24,64,15
