Chanos chanos,O
Cheilio inermis,C
Synodus dermatogenys,C
Eviota sp,C
Chromis vanderbilti,O
Pseudocheilinus tetrataenia,C
Canthigaster janthinoptera,O
Fusigobius neophytus,O
Cantherhines dumerilii,Co
Chaetodon citrinellus,Co
Pseudanthias mooreanus,C
Rhinecanthus lunula,O
Diodon hystrix,O
Naso vlamingii,O
Aprion virescens,C
Gymnosarda unicolor,C
Heniochus acuminatus,P
Abudefduf septemfasciatus,O
Coris aygula,O
Acanthurus nigrofuscus,H
Parupeneus insularis,C
Acanthurus mata,O
Chaetodon pelewensis,Co
Cirrhitichthys oxycephalus,C
Seriola rivoliana,C
Gnatholepis anjerensis,O
Scarus schlegeli,O
Parupeneus cyclostomus,C
Centropyge flavicauda,O
Canthigaster amboinensis,C
Pseudojuloides atavai,P
Acanthurus nigricans,H
Parapercis millepunctata,C
Ctenochaetus flavicauda,H
Zebrasoma scopas,H
Hyporhamphus affinis,P
Cirrhilabrus exquisitus,C
Pseudojuloides cerasinus,O
Labre point jaune,O
Chromis acares,C
Thalassoma purpureum,C
Ostracion cubicus,H
Odonus niger,C
Fistularia commersonii,Pi
Gymnothorax pictus,C
Carcharhinus melanopterus,Pi
Acanthurus guttatus,H
Plectroglyphidodon johnstonianus,Co
Chlorurus sordidus,O
Scorpaenopsis possi,C
Stethojulis strigiventer,C
Anthias spp.,O
Chaetodon bennetti,C
Hyporhamphus sp.,P
Dascyllus reticulatus,O
Parupeneus ciliatus,C
Aetobatus ocellatus,C
Chromis atripectoralis,P
Forcipiger flavissimus,C
Glyptoparus delicatulus,H
Gymnothorax meleagris,C
Thalassoma amblycephalum,C
Sphyraena barracuda,C
Pseudocoris aurantiofasciata,P
Caracanthus maculatus,C
Chaetodon ulietensis,O
Halichoeres hortulanus,C
Anampses femininus,C
Hemigymnus fasciatus,O
Mugil cephalus,H
Lutjanus bohar,Pi
Melichthys vidua,H
Tylosurus crocodilus crocodilus,Pi
Pseudobalistes fuscus,C
Cephalopholis sexmaculata,Pi
Chaetodon ephippium,O
Paracirrhites forsteri,O
Hologymnosus annulatus,C
Cheilinus trilobatus,C
Caranx sexfasciatus,C
Pseudocheilinus hexataenia,C
Sargocentron caudimaculatum,C
Sebastapistes tinkhami,C
Synodus binotatus,C
Amphiprion chrysopterus,O
Epinephelus merra,Pi
